Priority,Issue key,Issue id,Custom field (Business Function),Status,Custom field (Actual delivery date),Summary,Custom field (Market),Created
2 High,MCH-7176,178025,IT,Closed,09/09/2020 00:00,MobileIron Web@Work - Apple UIWebView Depreciation,Czech Republic,02/09/2020 09:51
3 Medium,MCH-6754,169740,Marketing,Closed,07/09/2020 00:00,HCD CZ Introduce new aquisition product (10+1),Czech Republic,02/06/2020 14:47
3 Medium,MCH-7107,176506,Credit Risk,Closed,27/08/2020 00:00,Add fields to view for Credit risk,Czech Republic,13/08/2020 13:35
3 Medium,MCH-6932,173370,Credit Risk,Closed,23/08/2020 00:00,Add CUSTOMER REQUEST and Risky Sector rejection codes from the CustomerCare group to eligible codes,Czech Republic,09/07/2020 13:21
3 Medium,MCH-6588,167624,Other,Change Delivered,13/08/2020 00:00,Moratorium and Double insurance Change,Czech Republic,06/05/2020 11:53
1 Critical,MCH-7036,174940,Credit Risk,Closed,07/08/2020 00:00,Write-off cache update CZ - JULY 2020,Czech Republic,27/07/2020 06:08
3 Medium,MCH-5942,156894,IT,Closed,30/06/2020 00:00,cz-automation-MySales,Czech Republic,07/02/2020 08:06
3 Medium,MCH-6226,160403,SSP,Closed,10/06/2020 00:00,marketing consents propagation,Czech Republic,16/03/2020 14:48
3 Medium,MCH-180,84246,SSP,Change Delivered,05/06/2020 00:00,MyProvi Program,Czech Republic,23/06/2017 11:39
3 Medium,MCH-6616,168181,Admin,Closed,14/05/2020 00:00,Selected CIS cards switching for CISREPORT,Czech Republic,13/05/2020 11:05
3 Medium,MCH-6618,168195,Other,Closed,14/05/2020 00:00,New document template for OZ in Triton,Czech Republic,13/05/2020 12:21
3 Medium,MCH-6268,160788,Marketing,Closed,14/05/2020 00:00,CZ - Insurance for free,Czech Republic,20/03/2020 12:59
3 Medium,MCH-6565,167046,Admin,Closed,06/05/2020 00:00,Uploado of new documentation for field agent - agreement CZ_032,Czech Republic,29/04/2020 13:42
2 High,MCH-4258,131605,Other,Change Delivered,05/05/2020 00:00,IPF Digi - Prodigy,Czech Republic,12/06/2019 03:52
3 Medium,MCH-6225,160400,CSC,Closed,23/04/2020 00:00,Change DIP process via CSC,Czech Republic,16/03/2020 14:33
